X,Y,NAME,WEB_URL,ADDRESS,LINE,TRAININFO_URL,SE_ANNO_CAD_DATA,GLOBALID,GIS_ID,OBJECTID,CREATOR,CREATED,EDITOR,EDITED
-77.16462968,39.11993515,Shady Grove,https://www.wmata.com/rider-guide/stations/shady-grove.cfm,"15903 SOMERVILLE DRIVE, DERWOOD, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A15|Shady%20Grove,,{4A7BBA5F-D492-4A0F-A81C-50152E80FADF},MetroStnFullPt_1,1,,,,
-77.14612767,39.08432943,Rockville,https://www.wmata.com/rider-guide/stations/rockville.cfm,"251 HUNGERFORD DRIVE, ROCKVILLE, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A14|Rockville,,{CC804700-B42E-4F50-BC43-EFEB771B7F92},MetroStnFullPt_2,2,,,,
-77.12082028,39.06247547,Twinbrook,https://www.wmata.com/rider-guide/stations/twinbrook.cfm,"1600 CHAPMAN AVENUE, ROCKVILLE, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A13|Twinbrook,,{BEBD5C27-B4A4-4085-B5DD-404E32B2D283},MetroStnFullPt_3,3,,,,
-77.05355966,39.06179158,Glenmont,https://www.wmata.com/rider-guide/stations/glenmont.cfm,"12501 GEORGIA AVENUE, SILVER SPRING, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B11|Glenmont,,{511DB3B0-0EAD-4EF9-A949-84EF64F3DE97},MetroStnFullPt_4,4,,,,
-77.11283218,39.04815917,White Flint,https://www.wmata.com/rider-guide/stations/white-flint.cfm,"5500 MARINELLI ROAD, ROCKVILLE, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A12|White%20Flint,,{14C07EA2-75C0-4AB0-B6F7-CB297C34D4EE},MetroStnFullPt_5,5,,,,
-77.05010936,39.03753496,Wheaton,https://www.wmata.com/rider-guide/stations/wheaton.cfm,"11171 GEORGIA AVENUE, SILVER SPRING, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B10|Wheaton,,{D7601C01-7869-4313-8E8D-2C3E0DF511DE},MetroStnFullPt_6,6,,,,
-77.10385204,39.02927676,Grosvenor-Strathmore,https://www.wmata.com/rider-guide/stations/grosvenor.cfm,"10300 ROCKVILLE PIKE, BETHESDA, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A11|Grosvenor-Strathmore,,{1FC9F25E-E9F1-40D6-B0DA-FBB89DA2DE83},MetroStnFullPt_7,7,,,,
-77.04291885,39.01496208,Forest Glen,https://www.wmata.com/rider-guide/stations/forest-glen.cfm,"9730 GEORGIA AVENUE, FOREST GLEN, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B09|Forest Glen,,{0EB64BBE-1209-4CCC-939F-AFE095D66B6E},MetroStnFullPt_8,8,,,,
-76.91105983,39.01115367,Greenbelt,https://www.wmata.com/rider-guide/stations/greenbelt.cfm,"5717 GREENBELT METRO DRIVE, GREENBELT, MD","green, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#E10|Greenbelt,,{989E0ABD-7B34-4371-9894-81608C3F0222},MetroStnFullPt_9,9,,,,
-77.0969546,39.00006429,Medical Center,https://www.wmata.com/rider-guide/stations/medical-center.cfm,"8810 ROCKVILLE PIKE, BETHESDA, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A10|Medical Center,,{05C2C9C1-03DD-47C4-B79A-E17A3F3EBC55},MetroStnFullPt_10,10,,,,
