,Unnamed: 0.1,Unnamed: 0,BATHRM,HF_BATHRM,AC,NUM_UNITS,ROOMS,BEDRM,EYB,STORIES,PRICE,STRUCT,CNDTN,KITCHENS,FIREPLACES,LANDAREA,FULLADDRESS,CITY,STATE,ZIPCODE,NATIONALGRID,LATITUDE,LONGITUDE,ASSESSMENT_SUBNBHD,WARD,SQUARE,X,Y,QUADRANT,year,"('distance', '.25metro', '.50metro')",distance2
9457,131293,131293,1,0,Y,,4,2,1908,,491000.0,,,,0,211,,,,20009.0,,38.91618247,-77.03782724999999,040 D Old City 2,Ward 2,176,-77.03782954621951,38.91618992735694,NW,2017,0.5443934473264429,0.7698885964760986
9458,131295,131295,1,0,Y,,2,0,1908,,275000.0,,,,0,211,,,,20009.0,,38.91618247,-77.03782724999999,040 D Old City 2,Ward 2,176,-77.03782954621951,38.91618992735694,NW,2017,0.5443934473264429,0.6369562408519454
9459,131331,131331,1,0,Y,,3,1,1890,,425000.0,,,,1,312,,,,20009.0,,38.91494815,-77.03545213,040 E Old City 2,Ward 2,191,-77.03545443530626,38.91495560890717,NW,2017,0.4503960772255024,0.6369562408519454
9460,131340,131340,1,0,N,,2,0,1885,,210000.0,,,,0,142,,,,20009.0,,38.91494815,-77.03545213,040 E Old City 2,Ward 2,191,-77.03545443530626,38.91495560890717,NW,2017,0.4503960772255024,0.36185131358007944
9461,131347,131347,2,0,Y,,4,2,2006,,750000.0,,,,0,180,,,,20005.0,,38.90445577,-77.03105732,,Ward 2,247,-77.03105961661437,38.904463225324726,NW,2017,0.25586751761373405,0.36185131358007944
9462,131349,131349,1,0,Y,,3,1,2006,,549000.0,,,,0,133,,,,20005.0,,38.90445577,-77.03105732,,Ward 2,247,-77.03105961661437,38.904463225324726,NW,2017,0.25586751761373405,0.36185131358007944
9463,131354,131354,1,0,Y,,4,1,1947,,,,,,0,191,,,,20005.0,,38.90445577,-77.03105732,,Ward 2,247,-77.03105961661437,38.904463225324726,NW,2017,0.25586751761373405,0.536358280651642
9464,131376,131376,1,1,Y,,4,1,2007,,590000.0,,,,0,260,,,,20005.0,,38.90627252,-77.02897199,040 C Old City 2,Ward 2,281,-77.02897427753388,38.90627997796232,NW,2017,0.3792625773943335,0.536358280651642
9465,131385,131385,2,1,Y,,4,2,2007,,755000.0,,,,0,291,,,,20005.0,,38.90627252,-77.02897199,040 C Old City 2,Ward 2,281,-77.02897427753388,38.90627997796232,NW,2017,0.3792625773943335,0.534027990318577
9466,131408,131408,1,0,Y,,4,1,1923,,325000.0,,,,0,142,,,,20005.0,,38.90541419,-77.02881888,040 C Old City 2,Ward 2,282,-77.02882117156918,38.905421645778304,NW,2017,0.3776148132976897,0.5387525033227852
