DATE,WDXRSA
1987-01-01,64.410215062128
1987-02-01,65.132330619397
1987-03-01,65.997852810846
1987-04-01,66.638734303829
1987-05-01,67.444725631397
1987-06-01,68.516923450951
1987-07-01,69.387165324854
1987-08-01,70.25445289451
1987-09-01,71.39573363726599
1987-10-01,72.318104192893
1987-11-01,73.15863879252
1987-12-01,73.585563003333
1988-01-01,74.40191447737
1988-02-01,75.287983419035
1988-03-01,76.394745590772
1988-04-01,77.301874031588
1988-05-01,78.379850438605
1988-06-01,79.340788798041
1988-07-01,80.775112487385
1988-08-01,81.928750222157
1988-09-01,83.157659202406
1988-10-01,83.674242436366
1988-11-01,84.632639431778
1988-12-01,85.92852609181699
1989-01-01,86.868957425478
1989-02-01,87.802266628933
1989-03-01,88.618967947876
1989-04-01,89.32523747308599
1989-05-01,89.77712680602899
1989-06-01,90.20321283775499
1989-07-01,90.707731394091
1989-08-01,91.365157786709
1989-09-01,91.927281744565
1989-10-01,92.190256823409
1989-11-01,92.382465870594
1989-12-01,92.840752653287
1990-01-01,93.362854790073
1990-02-01,93.664526485478
1990-03-01,93.605137871673
1990-04-01,93.58553395280799
1990-05-01,93.112160836965
1990-06-01,92.633770173456
1990-07-01,92.227285191533
1990-08-01,91.841703002998
1990-09-01,91.431715243863
1990-10-01,91.25676104302
1990-11-01,91.005988463179
1990-12-01,90.93694272744301
1991-01-01,89.706871111636
1991-02-01,89.264610069683
1991-03-01,88.21111547660699
1991-04-01,87.92178151914
1991-05-01,88.651272684984
1991-06-01,88.93663737249001
1991-07-01,88.99454498355101
1991-08-01,88.612423362967
1991-09-01,88.48782809957399
1991-10-01,88.424866179811
1991-11-01,88.672204952374
1991-12-01,88.471088859354
1992-01-01,88.573806947607
1992-02-01,88.22229818838699
1992-03-01,88.642353283669
1992-04-01,88.840926541215
1992-05-01,88.98101589780501
1992-06-01,88.869001639292
1992-07-01,88.500412551788
1992-08-01,88.482197227461
1992-09-01,88.40575550951901
1992-10-01,88.591012565261
1992-11-01,88.671207164109
1992-12-01,88.812353258711
1993-01-01,89.065117790056
1993-02-01,89.279574126771
1993-03-01,89.43854111854799
1993-04-01,88.941327000805
1993-05-01,88.481882772684
1993-06-01,88.649592405139
1993-07-01,88.81775439536501
1993-08-01,88.924336636499
1993-09-01,88.79469401535499
1993-10-01,88.622472705436
1993-11-01,88.507342744329
1993-12-01,88.835724434291
1994-01-01,88.988466699319
1994-02-01,89.021173073608
1994-03-01,89.305351647675
1994-04-01,89.481146129359
1994-05-01,89.78923765161801
1994-06-01,90.091046741902
1994-07-01,90.180551490406
1994-08-01,90.079346765188
1994-09-01,90.05467580712
1994-10-01,90.03542298131
1994-11-01,90.13594981978399
1994-12-01,89.947783173569
1995-01-01,89.670302828454
1995-02-01,89.604139810257
1995-03-01,89.398265326339
1995-04-01,89.12787655495899
1995-05-01,88.934263703995
1995-06-01,88.669538819688
1995-07-01,88.56682053280399
1995-08-01,88.649102424805
1995-09-01,88.79648248559299
1995-10-01,88.757638472488
1995-11-01,88.648811308738
1995-12-01,88.63947037563601
1996-01-01,88.655368555119
1996-02-01,88.536770388678
1996-03-01,88.609998958966
1996-04-01,88.872651276509
1996-05-01,88.87464349369101
1996-06-01,88.783848032928
1996-07-01,88.706748461101
1996-08-01,88.643889746373
1996-09-01,88.678576459832
1996-10-01,88.81802295696501
1996-11-01,88.92154547951401
1996-12-01,88.67360543150299
1997-01-01,88.775223909707
1997-02-01,88.971334589355
1997-03-01,89.33657981716
1997-04-01,88.92303993029499
1997-05-01,88.932324024123
1997-06-01,88.97203238373501
1997-07-01,89.007967125507
1997-08-01,89.117175712493
1997-09-01,89.229588290201
1997-10-01,89.544971155481
1997-11-01,89.75168497881901
1997-12-01,89.972057836017
1998-01-01,90.10814916380698
1998-02-01,90.220187109533
1998-03-01,90.34590232115299
1998-04-01,90.55001445234501
1998-05-01,90.842645441502
1998-06-01,91.297317005091
1998-07-01,91.54794726693599
1998-08-01,91.784734211607
1998-09-01,91.969411829381
1998-10-01,92.402607911592
1998-11-01,93.01248275359
1998-12-01,93.513382673272
1999-01-01,94.188054182971
1999-02-01,94.42715073536199
1999-03-01,94.927503533516
1999-04-01,95.52102877656
1999-05-01,95.856112763501
1999-06-01,96.59193669985001
1999-07-01,97.29490699589701
1999-08-01,98.014880886685
1999-09-01,98.59970275078301
1999-10-01,98.992493123029
1999-11-01,99.455856214739
1999-12-01,100.09413503798001
2000-01-01,100.871832376176
2000-02-01,101.70123721972901
2000-03-01,102.89418919596599
2000-04-01,103.954036929201
2000-05-01,104.924617568355
2000-06-01,105.718509309118
2000-07-01,106.71135977788401
2000-08-01,107.79264269344499
2000-09-01,108.99465463790199
2000-10-01,109.871959920843
2000-11-01,111.088011224438
2000-12-01,112.40423383781
2001-01-01,113.79441106829901
2001-02-01,115.390590816843
2001-03-01,116.838317913263
2001-04-01,118.630567555946
2001-05-01,119.25685779295799
2001-06-01,120.246294803809
2001-07-01,121.08068680435
2001-08-01,122.087240212991
2001-09-01,123.10381018495501
2001-10-01,124.13435641787599
2001-11-01,125.046400155415
2001-12-01,126.178112282091
2002-01-01,127.245701436529
2002-02-01,128.823820413194
2002-03-01,130.138868203335
2002-04-01,131.623310472549
2002-05-01,133.294920277815
2002-06-01,134.840568531091
2002-07-01,136.998587392006
2002-08-01,138.95497173812998
2002-09-01,140.802239192607
2002-10-01,142.448935057017
2002-11-01,143.865827516895
2002-12-01,145.590486815847
2003-01-01,146.67685077173002
2003-02-01,147.94399334807
2003-03-01,148.699929816702
