,0
Intercept,19850.629718067306
C(structure)[T.2.0],18996.81592996668
C(structure)[T.3.0],11459.780735093069
C(structure)[T.4.0],12490.235626435844
C(structure)[T.5.0],13528.30399552381
metro50,12838.278881780328
STORIES,8460.405610935031
LANDAREA,2.5209244505720667
BATHRM,4490.447979731451
HF_BATHRM,6886.826543548881
