,X,Y,NAME,ADDRESS,LINE,GLOBALID,GIS_ID
0,-77.16462968,39.11993515,Shady Grove,"15903 SOMERVILLE DRIVE, DERWOOD, MD",red,{4A7BBA5F-D492-4A0F-A81C-50152E80FADF},MetroStnFullPt_1
1,-77.14612767,39.08432943,Rockville,"251 HUNGERFORD DRIVE, ROCKVILLE, MD",red,{CC804700-B42E-4F50-BC43-EFEB771B7F92},MetroStnFullPt_2
2,-77.12082028,39.06247547,Twinbrook,"1600 CHAPMAN AVENUE, ROCKVILLE, MD",red,{BEBD5C27-B4A4-4085-B5DD-404E32B2D283},MetroStnFullPt_3
3,-77.05355966,39.06179158,Glenmont,"12501 GEORGIA AVENUE, SILVER SPRING, MD",red,{511DB3B0-0EAD-4EF9-A949-84EF64F3DE97},MetroStnFullPt_4
4,-77.11283218,39.04815917,White Flint,"5500 MARINELLI ROAD, ROCKVILLE, MD",red,{14C07EA2-75C0-4AB0-B6F7-CB297C34D4EE},MetroStnFullPt_5
5,-77.05010936,39.03753496,Wheaton,"11171 GEORGIA AVENUE, SILVER SPRING, MD",red,{D7601C01-7869-4313-8E8D-2C3E0DF511DE},MetroStnFullPt_6
6,-77.10385204,39.02927676,Grosvenor-Strathmore,"10300 ROCKVILLE PIKE, BETHESDA, MD",red,{1FC9F25E-E9F1-40D6-B0DA-FBB89DA2DE83},MetroStnFullPt_7
7,-77.04291885,39.01496208,Forest Glen,"9730 GEORGIA AVENUE, FOREST GLEN, MD",red,{0EB64BBE-1209-4CCC-939F-AFE095D66B6E},MetroStnFullPt_8
8,-76.91105983,39.01115367,Greenbelt,"5717 GREENBELT METRO DRIVE, GREENBELT, MD","green, yellow",{989E0ABD-7B34-4371-9894-81608C3F0222},MetroStnFullPt_9
9,-77.0969546,39.00006429,Medical Center,"8810 ROCKVILLE PIKE, BETHESDA, MD",red,{05C2C9C1-03DD-47C4-B79A-E17A3F3EBC55},MetroStnFullPt_10
10,-77.03102012,38.99395718,Silver Spring,"8400 COLESVILLE ROAD, SILVER SPRING, MD",red,{E2C8A3F4-D14C-4560-B208-2B20E3E916B2},MetroStnFullPt_11
11,-77.0941315,38.98440146,Bethesda,"7450 WISCONSIN AVENUE, BETHESDA, MD",red,{BB78FDF2-307A-4455-B989-7E1022BF6B5B},MetroStnFullPt_12
12,-76.92812724,38.97864144,College Park-U of Md,"4931 CALVERT ROAD, COLLEGE PARK, MD","green, yellow",{30237246-424F-4902-BEC0-73AF149BF312},MetroStnFullPt_13
13,-77.01817899,38.97608633,Takoma,"327 CEDAR STREET NW, WASHINGTON, DC",red,{E4053E09-BAE7-430B-BC36-51844F0CDA64},MetroStnFullPt_14
14,-76.95588378,38.96539325,Prince George's Plaza,"3575 EAST WEST HIGHWAY, HYATTSVILLE, MD","green, yellow",{548B930C-61C5-4938-A14D-0EB66658044D},MetroStnFullPt_15
15,-77.08499811,38.95949167,Friendship Heights,"5337 WISCONSIN AVENUE NW, WASHINGTON, DC",red,{B523146C-2AA3-4300-8EBC-4321AC6BAA80},MetroStnFullPt_16
