,0
Intercept,294621.81329434057
C(structure)[T.2.0],-310541.31624694704
C(structure)[T.3.0],-197859.60413401024
C(structure)[T.4.0],-54853.254549064855
C(structure)[T.5.0],-85384.98698293681
AC[T.N],-121643.42333666043
AC[T.Y],-79478.96960723879
metro50,72425.30095057134
STORIES,53961.81873508994
LANDAREA,9.594394827308026
BATHRM,146728.20625684405
HF_BATHRM,88294.9647660342
