,0
Intercept,187796.3755341276
C(structure)[T.2.0],-330310.5727397275
C(structure)[T.3.0],-191576.53677844608
C(structure)[T.4.0],-50288.091087265224
C(structure)[T.5.0],-79494.72938037834
metro50,73700.94504727822
STORIES,53376.951221379306
LANDAREA,8.516950346627684
BATHRM,153164.87951327433
HF_BATHRM,95170.08188993386
