,0
Intercept,263538.5265951018
C(structure)[T.2.0],19484.96532080614
C(structure)[T.3.0],11510.480617276247
C(structure)[T.4.0],12510.420693365259
C(structure)[T.5.0],13569.55118073786
AC[T.N],262331.8289919551
AC[T.Y],262182.3507115232
metro50,8070.805230740732
STORIES,8651.525855624119
LANDAREA,2.532362118534779
BATHRM,4690.152579841953
HF_BATHRM,7020.694199783228
